global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
11523,419,73.0,73,0.817553,0.5950272083282471,298.0,10.287
11571,420,48.0,48,0.816793,0.2567109167575836,298.0,10.328
11620,421,49.0,49,0.816017,0.2466692328453064,298.0,10.378
11632,422,12.0,12,0.815827,2.278264284133911,298.0,10.387
11652,423,20.0,20,0.81551,0.4482068717479706,298.0,10.406
11708,424,56.0,56,0.814623,0.5580402612686157,298.0,10.462
11759,425,51.0,51,0.813816,0.40767011046409607,298.0,10.513
11778,426,19.0,19,0.813515,0.4641391336917877,298.0,10.535
11811,427,33.0,33,0.812993,0.317020982503891,298.0,10.56
11829,428,18.0,18,0.812708,0.07884720712900162,298.0,10.576
11879,429,50.0,50,0.811916,0.5655860900878906,298.0,10.625
11889,430,10.0,10,0.811758,0.7306898236274719,298.0,10.638
11920,431,31.0,31,0.811267,0.5027406811714172,298.0,10.667
11937,432,17.0,17,0.810998,0.8756709694862366,298.0,10.691
11992,433,55.0,55,0.810127,0.13721883296966553,298.0,10.744
12029,434,37.0,37,0.809541,1.0206886529922485,298.0,10.779
12049,435,20.0,20,0.809224,0.44088977575302124,298.0,10.797
12064,436,15.0,15,0.808987,3.801694393157959,298.0,10.809
